"","X1","RECORDING_SESSION_LABEL","Trial_Index_","LEFT_FIX_INDEX","LEFT_FIX_START_X","LEFT_FIX_START_Y","LEFT_PUPIL_SIZE","spiral_type","LEFT_IN_SACCADE","RIGHT_PUPIL_SIZE","RIGHT_FIX_START_X","RIGHT_FIX_START_Y","RIGHT_FIX_INDEX","RIGHT_IN_SACCADE","LEFT_FIX_END_X","LEFT_FIX_END_Y","RIGHT_FIX_END_X","RIGHT_FIX_END_Y","Disparity_Start","Disparity_End","DisparityType_Start","DisparityType_End","Fixation_disparity","Spiral_num","Disparity_change","ID","Trial","LEFT_travelX","LEFT_travelY","RIGHT_travelX","RIGHT_travelY","X_direction","Y_direction","XY_direction"
"1",1,"AC",1,31,1233.2,572.3,580,"clockwise",0,673,1234.4,586.5,31,0,1236.1,574.5,1236,586.6,1.20000000000005,-0.0999999999999091,"Uncrossed","Crossed","converge","Contrasting",-1.29999999999995,"AC",1,2.89999999999986,2.20000000000005,1.59999999999991,0.100000000000023,"center_Right","center_Up","Right_Up"
"2",2,"AC",1,32,883,546.3,597,"clockwise",0,687,873.6,557.7,32,0,875.5,547,861.7,557.1,-9.39999999999998,-13.8,"Crossed","Crossed","converge","Contrasting",-4.39999999999998,"AC",1,-7.5,0.700000000000045,-11.9,-0.600000000000023,"center_Right","center_Up","Right_Up"
"3",3,"AC",1,33,866.2,524.5,640,"clockwise",0,749,851.2,541.5,33,0,868.9,533.5,847,539.9,-15,-21.9,"Crossed","Crossed","converge","Contrasting",-6.89999999999998,"AC",1,2.69999999999993,9,-4.20000000000005,-1.60000000000002,"center_Right","center_Up","Right_Up"
"4",4,"AC",1,34,848.4,510.2,670,"clockwise",0,760,838.7,505.4,34,0,873.3,563.7,858.5,565,-9.69999999999993,-14.8,"Crossed","Crossed","converge","Contrasting",-5.10000000000002,"AC",1,24.9,53.5000000000001,19.8,59.6,"center_Right","center_Up","Right_Up"
"5",5,"AC",1,35,866,489.9,953,"clockwise",0,1138,858.9,521.8,35,0,870.5,546.7,849.4,550.5,-7.10000000000002,-21.1,"Crossed","Crossed","converge","Contrasting",-14,"AC",1,4.5,56.8000000000001,-9.5,28.7,"center_Right","center_Up","Right_Up"
"6",6,"AC",1,36,850.4,486.1,856,"clockwise",0,1096,863.7,415.1,36,0,877.8,540.5,856.9,535.9,13.3000000000001,-20.9,"Uncrossed","Crossed","converge","Contrasting",-34.2,"AC",1,27.4,54.4,-6.80000000000007,120.8,"center_Right","center_Up","Right_Up"
"7",7,"AC",1,37,869.2,520.6,834,"clockwise",0,1084,844.4,516.6,37,0,862.5,526.4,849.3,530.6,-24.8000000000001,-13.2,"Crossed","Crossed","diverge","Contrasting",11.6,"AC",1,-6.70000000000005,5.79999999999995,4.89999999999998,14,"center_Right","center_Up","Right_Up"
"8",8,"AC",1,38,842.1,498.8,808,"clockwise",0,1085,841.2,441.8,38,0,870.4,517.9,862.9,525.6,-0.899999999999977,-7.5,"Crossed","Crossed","converge","Contrasting",-6.60000000000002,"AC",1,28.3,19.1,21.6999999999999,83.8,"center_Right","center_Up","Right_Up"
"9",9,"AC",1,39,860.2,509,713,"clockwise",0,867,846.9,513.6,40,0,870.7,520.8,849.9,527.2,-13.3000000000001,-20.8000000000001,"Crossed","Crossed","converge","Contrasting",-7.5,"AC",1,10.5,11.8,3,13.6,"center_Right","center_Up","Right_Up"
"10",10,"AC",29,14,819.9,533.7,681,"clockwise",0,862,814.1,535.9,14,0,841.4,530.9,827.3,531.8,-5.79999999999995,-14.1,"Crossed","Crossed","converge","Contrasting",-8.30000000000007,"AC",29,21.5,-2.80000000000007,13.1999999999999,-4.10000000000002,"center_Left","center_Up","Left_Up"
